Cruise# Friday Test
Date: 07/23/13

CTD probe# 1
DVL# 2
Oxy Probe# 3
Fluorometer# 4
Irradiance Probe# 5
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)	Wing Fin Angle (°)	Roll Fin Angle (°)
21:49:19.58	31.70	31.52	16.17	38.00	0.04	5.7047	-2.219678E-7	1809.00	-38.00	0.00	9999.99	8.33	18.34	133.50	No GPS Data	No GPS Data	41.00	41.00	1809.00	-38.00	-13.31	-23.94
21:49:19.99	31.56	31.38	16.18	38.01	0.04	5.7051	-2.217323E-7	1809.00	-38.00	0.00	9999.99	8.33	18.34	133.50	No GPS Data	No GPS Data	41.00	41.00	1809.00	-38.00	-24.97	4.99
21:49:20.53	31.42	31.24	16.22	38.01	0.04	5.7041	-2.221270E-7	2477.00	-114.00	0.00	9999.99	8.37	17.91	131.20	No GPS Data	No GPS Data	106.00	106.00	2477.00	-114.00	-24.98	4.99
21:49:21.07	31.29	31.12	16.26	38.00	0.04	5.7023	-2.219262E-7	2477.00	-114.00	0.00	9999.99	8.37	17.91	131.20	No GPS Data	No GPS Data	106.00	106.00	2477.00	-114.00	-24.98	4.99
21:49:21.60	31.21	31.04	16.29	38.00	0.04	5.7026	-2.221062E-7	2481.00	-171.00	0.00	9999.99	6.24	17.51	134.70	No GPS Data	No GPS Data	49.00	49.00	2481.00	-171.00	-24.98	4.99
21:49:22.15	31.21	31.04	16.29	38.00	0.04	5.7074	-2.232053E-7	2481.00	-171.00	0.00	9999.99	6.24	17.51	134.70	No GPS Data	No GPS Data	49.00	49.00	2481.00	-171.00	-24.98	4.99
21:49:22.71	31.10	30.93	16.29	38.00	0.04	5.7094	-2.227632E-7	1869.00	-43.00	0.00	9999.99	8.91	17.46	132.30	No GPS Data	No GPS Data	110.00	110.00	1869.00	-43.00	-24.98	4.98
21:49:23.25	30.97	30.80	16.27	38.00	0.04	5.7209	-2.217323E-7	1869.00	-43.00	0.00	9999.99	8.91	17.46	132.30	No GPS Data	No GPS Data	110.00	110.00	1869.00	-43.00	-24.98	4.99
21:49:23.79	30.86	30.69	16.23	38.00	0.04	5.7227	-2.210667E-7	2820.00	-111.00	0.00	9999.99	5.39	16.39	130.10	No GPS Data	No GPS Data	93.00	93.00	2820.00	-111.00	-24.98	4.99
21:49:24.33	30.78	30.61	16.23	38.01	0.04	5.7310	-2.218916E-7	2820.00	-111.00	0.00	9999.99	5.39	16.39	130.10	No GPS Data	No GPS Data	93.00	93.00	2820.00	-111.00	-24.98	4.99
21:49:24.87	30.73	30.56	16.23	38.01	0.04	5.7284	-2.219954E-7	2820.00	-111.00	0.00	9999.99	5.39	16.39	130.10	No GPS Data	No GPS Data	93.00	93.00	2820.00	-111.00	-24.98	5.00
21:49:25.41	30.67	30.50	16.23	38.00	0.04	5.7227	-2.211708E-7	2156.00	-106.00	0.00	9999.99	5.38	14.01	133.40	No GPS Data	No GPS Data	84.00	84.00	2156.00	-106.00	-24.98	5.00
21:49:25.95	30.67	30.50	16.23	38.00	0.04	5.7197	-2.217738E-7	2039.00	-124.00	0.00	9999.99	7.96	11.30	131.40	No GPS Data	No GPS Data	82.00	82.00	2039.00	-124.00	-24.98	4.99
21:49:26.49	30.57	30.40	16.26	38.00	0.04	5.7177	-2.228669E-7	2039.00	-124.00	0.00	9999.99	7.96	11.30	131.40	No GPS Data	No GPS Data	82.00	82.00	2039.00	-124.00	-24.98	4.99
21:49:27.05	30.48	30.31	16.29	38.00	0.04	5.7151	-2.225351E-7	1785.00	9.00	0.00	9999.99	6.33	9.14	128.30	No GPS Data	No GPS Data	45.00	45.00	1785.00	9.00	-24.97	4.99
21:49:27.59	30.39	30.22	16.30	38.00	0.03	5.7206	-2.209279E-7	1785.00	9.00	0.00	9999.99	6.33	9.14	128.30	No GPS Data	No GPS Data	45.00	45.00	1785.00	9.00	-24.97	4.99
21:49:28.14	30.32	30.15	16.31	38.00	0.04	5.7269	-2.219054E-7	2587.00	-95.00	0.00	9999.99	2.84	5.50	130.20	No GPS Data	No GPS Data	18.00	18.00	2587.00	-95.00	-24.98	4.99
21:49:28.69	30.30	30.13	16.40	38.02	0.04	5.7263	-2.241293E-7	2571.00	-159.00	0.00	9999.99	2.42	2.11	132.80	No GPS Data	No GPS Data	-54.00	-54.00	2571.00	-159.00	-24.98	4.98
21:49:29.23	30.27	30.10	16.43	38.02	0.04	5.7284	-2.228254E-7	2571.00	-159.00	0.00	9999.99	2.42	2.11	132.80	No GPS Data	No GPS Data	-54.00	-54.00	2571.00	-159.00	-24.97	4.99
21:49:29.77	30.23	30.06	16.44	38.02	0.03	5.7297	-2.221685E-7	2194.00	-90.00	0.00	9999.99	5.64	-0.43	133.30	No GPS Data	No GPS Data	-17.00	-17.00	2194.00	-90.00	-24.99	4.99
21:49:30.31	30.23	30.06	16.44	38.02	0.04	5.7299	-2.220716E-7	2194.00	-90.00	0.00	9999.99	5.64	-0.43	133.30	No GPS Data	No GPS Data	-17.00	-17.00	2194.00	-90.00	-24.98	4.99
21:49:30.85	30.13	29.97	16.46	38.02	0.03	5.7287	-2.214967E-7	2246.00	-70.00	0.00	9999.99	6.04	-1.36	133.20	No GPS Data	No GPS Data	-66.00	-66.00	2246.00	-70.00	-24.98	4.98
21:49:31.40	30.01	29.85	16.48	38.03	0.04	5.7251	-2.203723E-7	2246.00	-70.00	0.00	9999.99	6.04	-1.36	133.20	No GPS Data	No GPS Data	-66.00	-66.00	2246.00	-70.00	-24.98	4.99
21:49:31.94	29.92	29.75	16.48	38.03	0.03	5.7233	-2.232605E-7	2246.00	-70.00	0.00	9999.99	6.04	-1.36	133.20	No GPS Data	No GPS Data	-66.00	-66.00	2246.00	-70.00	-24.98	4.99
21:49:32.49	29.80	29.63	16.48	38.03	0.04	5.7224	-2.203306E-7	2383.00	-96.00	0.00	9999.99	5.72	-1.98	132.40	No GPS Data	No GPS Data	-156.00	-156.00	2383.00	-96.00	-24.98	4.99
21:49:33.04	29.73	29.56	16.48	38.03	0.04	5.7276	-2.218639E-7	2383.00	-96.00	0.00	9999.99	5.72	-1.98	132.40	No GPS Data	No GPS Data	-156.00	-156.00	2383.00	-96.00	-24.98	4.99
21:49:33.58	29.65	29.48	16.49	38.03	0.04	5.7271	-2.239226E-7	2327.00	-56.00	0.00	9999.99	4.49	-0.87	132.70	No GPS Data	No GPS Data	-100.00	-100.00	2327.00	-56.00	-24.97	4.99
21:49:34.14	29.55	29.38	16.49	38.03	0.03	5.7235	-2.213026E-7	2327.00	-56.00	0.00	9999.99	4.49	-0.87	132.70	No GPS Data	No GPS Data	-100.00	-100.00	2327.00	-56.00	-24.98	4.99
21:49:34.69	29.55	29.38	16.49	38.03	0.04	5.7251	-2.228945E-7	2271.00	-93.00	0.00	9999.99	6.48	0.30	133.80	No GPS Data	No GPS Data	-106.00	-106.00	2271.00	-93.00	-24.97	4.99
21:49:35.23	29.42	29.26	16.48	38.03	0.04	5.7284	-2.216284E-7	2271.00	-93.00	0.00	9999.99	6.48	0.30	133.80	No GPS Data	No GPS Data	-106.00	-106.00	2271.00	-93.00	-24.99	4.98
21:49:35.78	29.31	29.15	16.48	38.03	0.04	5.7234	-2.217323E-7	2006.00	-55.00	0.00	9999.99	7.07	2.35	132.70	No GPS Data	No GPS Data	-46.00	-46.00	2006.00	-55.00	-24.98	5.00
21:49:36.34	29.19	29.03	16.48	38.03	0.04	5.7204	-2.203653E-7	2006.00	-55.00	0.00	9999.99	7.07	2.35	132.70	No GPS Data	No GPS Data	-46.00	-46.00	2006.00	-55.00	-24.97	4.99
21:49:36.88	29.07	28.91	16.49	38.03	0.04	5.7333	-2.205807E-7	1919.00	-4.00	0.00	9999.99	6.22	4.15	131.70	No GPS Data	No GPS Data	-78.00	-78.00	1919.00	-4.00	-24.97	5.00
21:49:37.44	28.95	28.79	16.48	38.03	0.04	5.7217	-2.219262E-7	1919.00	-4.00	0.00	9999.99	6.22	4.15	131.70	No GPS Data	No GPS Data	-78.00	-78.00	1919.00	-4.00	-24.98	5.00
21:49:37.98	28.84	28.68	16.48	38.03	0.04	5.7243	-2.225973E-7	3068.00	-221.00	0.00	9999.99	6.14	5.84	132.70	No GPS Data	No GPS Data	-94.00	-94.00	3068.00	-221.00	-24.98	4.99
21:49:38.53	28.73	28.57	16.48	38.03	0.03	5.7185	-2.222723E-7	3068.00	-221.00	0.00	9999.99	6.14	5.84	132.70	No GPS Data	No GPS Data	-94.00	-94.00	3068.00	-221.00	-24.98	4.99
21:49:39.08	28.73	28.57	16.48	38.03	0.04	5.7241	-2.229360E-7	1057.00	143.00	0.00	9999.99	6.74	7.73	132.90	No GPS Data	No GPS Data	-68.00	-68.00	1057.00	143.00	-24.98	4.98
21:49:39.63	28.63	28.47	16.49	38.03	0.04	5.7192	-2.220301E-7	1057.00	143.00	0.00	9999.99	6.74	7.73	132.90	No GPS Data	No GPS Data	-68.00	-68.00	1057.00	143.00	-24.97	4.99
21:49:40.17	28.50	28.34	16.49	38.03	0.03	5.7182	-2.210667E-7	1057.00	143.00	0.00	9999.99	6.74	7.73	132.90	No GPS Data	No GPS Data	-68.00	-68.00	1057.00	143.00	-24.97	4.99
21:49:40.71	28.37	28.21	16.49	38.03	0.04	5.7209	-2.223899E-7	617.00	209.00	0.00	9999.99	7.96	9.09	131.60	No GPS Data	No GPS Data	-12.00	-12.00	617.00	209.00	-24.97	4.99
21:49:41.25	28.24	28.08	16.50	38.03	0.04	5.7224	-2.220301E-7	617.00	209.00	0.00	9999.99	7.96	9.09	131.60	No GPS Data	No GPS Data	-12.00	-12.00	617.00	209.00	-24.97	5.00
21:49:41.79	28.16	28.00	16.52	38.03	0.04	5.7275	-2.211361E-7	1170.00	219.00	0.00	9999.99	4.63	9.71	130.90	No GPS Data	No GPS Data	-8.00	-8.00	1170.00	219.00	-24.97	4.99
21:49:42.34	28.08	27.92	16.53	38.03	0.03	5.7277	-2.235986E-7	1170.00	219.00	0.00	9999.99	4.63	9.71	130.90	No GPS Data	No GPS Data	-8.00	-8.00	1170.00	219.00	-24.98	4.99
21:49:42.90	27.99	27.84	16.53	38.03	0.03	5.7298	-2.208377E-7	1069.00	160.00	0.00	9999.99	5.29	8.85	133.80	No GPS Data	No GPS Data	20.00	20.00	1069.00	160.00	-24.98	5.00
21:49:43.45	27.99	27.84	16.53	38.03	0.04	5.7232	-2.221962E-7	1069.00	160.00	0.00	9999.99	5.29	8.85	133.80	No GPS Data	No GPS Data	20.00	20.00	1069.00	160.00	-24.98	4.99
21:49:43.98	27.87	27.72	16.57	38.03	0.04	5.7264	-2.207266E-7	389.00	224.00	0.00	9999.99	7.96	9.00	133.50	No GPS Data	No GPS Data	30.00	30.00	389.00	224.00	-24.98	4.99
21:49:44.52	27.74	27.59	16.56	37.99	0.04	5.7260	-2.242670E-7	389.00	224.00	0.00	9999.99	7.96	9.00	133.50	No GPS Data	No GPS Data	30.00	30.00	389.00	224.00	-24.97	4.99
21:49:45.06	27.59	27.44	16.55	37.96	0.03	5.7254	-2.226319E-7	736.00	249.00	0.00	9999.99	8.09	10.22	129.90	No GPS Data	No GPS Data	89.00	89.00	736.00	249.00	-24.98	4.99
21:49:45.60	27.45	27.30	16.58	37.96	0.03	5.7230	-2.225904E-7	736.00	249.00	0.00	9999.99	8.09	10.22	129.90	No GPS Data	No GPS Data	89.00	89.00	736.00	249.00	-24.98	5.00
21:49:46.14	27.35	27.20	16.58	37.96	0.03	5.7131	-2.213719E-7	2218.00	-27.00	0.00	9999.99	5.79	10.87	131.90	No GPS Data	No GPS Data	-38.00	-38.00	2218.00	-27.00	-24.98	4.99
21:49:46.69	27.23	27.08	16.58	37.96	0.04	5.7181	-2.221616E-7	2218.00	-27.00	0.00	9999.99	5.79	10.87	131.90	No GPS Data	No GPS Data	-38.00	-38.00	2218.00	-27.00	-24.97	4.99
21:49:47.25	27.11	26.96	16.58	37.96	0.03	5.7098	-2.222377E-7	891.00	154.00	0.00	9999.99	7.61	11.87	133.50	No GPS Data	No GPS Data	-44.00	-44.00	891.00	154.00	-24.97	4.98
21:49:47.79	27.11	26.96	16.58	37.96	0.04	5.7123	-2.223899E-7	891.00	154.00	0.00	9999.99	7.61	11.87	133.50	No GPS Data	No GPS Data	-44.00	-44.00	891.00	154.00	-24.98	5.00
21:49:48.33	26.97	26.82	16.58	37.96	0.03	5.7113	-2.245768E-7	891.00	154.00	0.00	9999.99	7.61	11.87	133.50	No GPS Data	No GPS Data	-44.00	-44.00	891.00	154.00	-24.97	4.98
21:49:48.87	26.82	26.67	16.58	37.96	0.03	5.7098	-2.218639E-7	2962.00	-213.00	0.00	9999.99	8.13	13.12	131.60	No GPS Data	No GPS Data	28.00	28.00	2962.00	-213.00	-24.97	4.99
21:49:49.42	26.68	26.53	16.58	37.96	0.03	5.7090	-2.229291E-7	2962.00	-213.00	0.00	9999.99	8.13	13.12	131.60	No GPS Data	No GPS Data	28.00	28.00	2962.00	-213.00	-24.98	4.99
21:49:49.97	26.56	26.41	16.57	37.95	0.03	5.7103	-2.219954E-7	1015.00	159.00	0.00	9999.99	6.88	14.01	133.10	No GPS Data	No GPS Data	2.00	2.00	1015.00	159.00	-24.98	4.99
21:49:50.52	26.44	26.29	16.57	37.95	0.03	5.7102	-2.221962E-7	1015.00	159.00	0.00	9999.99	6.88	14.01	133.10	No GPS Data	No GPS Data	2.00	2.00	1015.00	159.00	-24.98	4.99
21:49:51.06	26.32	26.17	16.57	37.95	0.03	5.7091	-2.227632E-7	1751.00	56.00	0.00	9999.99	6.63	15.36	132.00	No GPS Data	No GPS Data	61.00	61.00	1751.00	56.00	-24.97	4.98
21:49:51.63	26.22	26.08	16.56	37.95	0.03	5.7117	-2.222031E-7	1751.00	56.00	0.00	9999.99	6.63	15.36	132.00	No GPS Data	No GPS Data	61.00	61.00	1751.00	56.00	-24.98	4.99
21:49:52.17	26.22	26.08	16.56	37.95	0.04	5.7092	-2.229221E-7	648.00	248.00	0.00	9999.99	6.40	16.28	132.40	No GPS Data	No GPS Data	4.00	4.00	648.00	248.00	-24.97	4.98
